id,lon,lat,grid_id_50km,host_grid_id_50km,sector,tech,allocated_capacity_mw
r1553_c215,76.82775199399953,37.56398588458989,R31_C5,R32_C5,chem,pv,17.044583725354837
r1553_c217,76.84988830305345,37.56893721100558,R31_C5,R32_C5,chem,pv,17.041653802585866
r1553_c218,76.86095753648178,37.57141145462111,R31_C5,R32_C5,chem,pv,17.04018956228176
r1553_c219,76.87202748890422,37.57388475172432,R31_C5,R32_C5,chem,pv,17.038725802872875
r1553_c220,76.88309816011555,37.57635710222718,R31_C5,R32_C5,chem,pv,17.03726252449035
r1553_c221,76.8941695499104,37.57882850604167,R31_C5,R32_C5,chem,pv,17.03579972726539
r1553_c222,76.90524165808341,37.581298963079725,R31_C5,R32_C5,chem,pv,17.034337411329187
r1553_c223,76.91631448442901,37.58376847325339,R31_C5,R32_C5,chem,pv,17.03287557681288
r1553_c224,76.9273880287416,37.58623703647466,R31_C5,R32_C5,chem,pv,17.03141422384767
r1553_c225,76.93846229081545,37.588704652655565,R31_C5,R32_C5,chem,pv,34.05990670512943
r1553_c226,76.94953727044475,37.59117132170808,R31_C5,R32_C5,chem,pv,17.028492963095182
r1553_c227,76.96061296742359,37.59363704354429,R31_C5,R32_C5,chem,pv,34.05406611114035
r1553_c228,76.97168938154594,37.59610181807624,R31_C5,R32_C5,chem,pv,34.05114726024181
r1553_c229,76.98276651260568,37.59856564521597,R31_C5,R32_C5,chem,pv,34.048229373756925
r1553_c230,76.99384436039664,37.6010285248756,R31_C5,R32_C5,chem,pv,34.04531245194803
r1553_c231,77.00492292471247,37.60349045696728,R31_C5,R32_C5,chem,pv,34.04239649507729
r1554_c201,76.67612157367218,37.52073231783454,R31_C5,R32_C5,chem,pv,16.888307864952125
r1554_c202,76.68717814980192,37.52322141519684,R31_C5,R32_C5,chem,pv,16.886834435131696
r1554_c203,76.69823544796171,37.52570956752868,R31_C5,R32_C5,chem,pv,16.88536148772902
r1554_c214,76.81991332339813,37.55301684594589,R31_C5,R32_C5,chem,pv,16.869190942578943
r1554_c215,76.83097927000848,37.5554936510348,R31_C5,R32_C5,chem,pv,16.867723794199772
r1554_c216,76.84204593599424,37.55796950994747,R31_C5,R32_C5,chem,pv,16.86625712990657
r1554_c217,76.85311332115053,37.56044442259584,R31_C5,R32_C5,chem,pv,16.8647909498276
r1554_c218,76.86418142527236,37.56291838889183,R31_C5,R32_C5,chem,pv,16.863325254091194
r1554_c219,76.87525024815466,37.56539140874757,R31_C5,R32_C5,chem,pv,17.043752045692116
r1554_c220,76.88631978959222,37.56786348207493,R31_C5,R32_C5,chem,pv,17.042289203292903
r1554_c221,76.8973900493798,37.570334608785934,R31_C5,R32_C5,chem,pv,17.040826841963003
r1554_c222,76.90846102731197,37.57280478879269,R31_C5,R32_C5,chem,pv,17.03936496183346
r1554_c223,76.91953272318328,37.57527402200709,R31_C5,R32_C5,chem,pv,17.037903563035442
r1554_c224,76.93060513678816,37.57774230834132,R31_C5,R32_C5,chem,pv,17.036442645699957
r1554_c225,76.94167826792093,37.58020964770735,R31_C5,R32_C5,chem,pv,17.034982209958134
r1554_c226,76.95275211637583,37.58267604001728,R31_C5,R32_C5,chem,pv,17.033522255941
r1554_c227,76.96382668194697,37.58514148518327,R31_C5,R32_C5,chem,pv,17.03206278377958
r1554_c228,76.97490196442841,37.58760598311732,R31_C5,R32_C5,chem,pv,34.061207587210035
r1554_c229,76.98597796361405,37.59006953373159,R31_C5,R32_C5,chem,pv,34.05829057109662
r1554_c230,76.99705467929775,37.592532136938175,R31_C5,R32_C5,chem,pv,34.05537451948105
r1554_c231,77.00813211127324,37.59499379264929,R31_C5,R32_C5,chem,pv,34.0524594326253
r1555_c201,76.67936390662624,37.51224389905095,R31_C5,R32_C5,chem,pv,16.893332034720856
r1555_c202,76.69041935739757,37.51473271806364,R31_C5,R32_C5,chem,pv,16.891859032283612
r1555_c214,76.82314100843216,37.54452481418509,R31_C5,R32_C5,chem,pv,16.87422066166517
r1555_c215,76.834205826642,37.547001341853736,R31_C5,R32_C5,chem,pv,16.872753939555867
r1555_c216,76.84527136399359,37.54947692341791,R31_C5,R32_C5,chem,pv,16.871287701446285
r1555_c217,76.85633762028206,37.55195155878968,R31_C5,R32_C5,chem,pv,16.869821947464608
r1555_c218,76.86740459530247,37.55442524788102,R31_C5,R32_C5,chem,pv,16.868356677739
r1555_c219,76.87847228884979,37.55689799060391,R31_C5,R32_C5,chem,pv,16.86689189239771
r1555_c220,76.8895407007189,37.55936978687048,R31_C5,R32_C5,chem,pv,16.865427591568846
r1555_c221,76.90060983070452,37.561840636592684,R31_C5,R32_C5,chem,pv,16.863963775380636
r1555_c222,76.91167967860136,37.56431053968269,R31_C5,R32_C5,chem,pv,17.044391622043094
r1555_c223,76.92275024420397,37.566779496052526,R31_C5,R32_C5,chem,pv,17.04293065869693
r1555_c224,76.93382152730682,37.569247505614285,R31_C5,R32_C5,chem,pv,17.04147017672481
r1555_c225,76.94489352770428,37.57171456828012,R31_C5,R32_C5,chem,pv,17.040010176257713
r1555_c226,76.95596624519064,37.57418068396208,R31_C5,R32_C5,chem,pv,17.03855065742666
r1555_c227,76.96703967956006,37.57664585257233,R31_C5,R32_C5,chem,pv,17.0370916203626
r1555_c228,76.97811383060666,37.57911007402301,R31_C5,R32_C5,chem,pv,34.071266130392985
r1555_c229,76.98918869812435,37.58157334822631,R31_C5,R32_C5,chem,pv,34.0683499841186
r1555_c230,77.00026428190708,37.58403567509433,R31_C5,R32_C5,chem,pv,34.06543480216397
r1555_c231,77.01134058174858,37.58649705453938,R31_C5,R32_C5,chem,pv,34.06252058479093
r1556_c204,76.71577065891145,37.51121819045139,R31_C5,R32_C5,chem,pv,16.893939075857062
